"","Name","Peak_E_over_Flu","E_P_Over_S_Err","Hardness Ratio","t90","t90_err","Peak_E","Peak_E_err","Fluence","Fluence_Err","AG_fluence","AG_fluence_err","Classification."
"42",120907017,8.55613458925118,8.55613458925118,-0.842254686218282,0.760422483423212,0.249931756634195,2.08173281608023,1.34511660702551,-6.09197632886096,-7.38893553520003,-7.04667523508774,-7.04667523508774,2
"43",120811649,8.42839777675699,8.42839777675699,-1.54218634683016,1.15642799231805,0.816705183666515,1.78400621207401,0.572139885047945,-5.46260911632309,-6.67501829691263,-6.93612977870012,-6.93612977870012,2
"44",120118709,7.4332515476742,7.4332515476742,-1.63397555447949,1.57777893669522,1.09988772741147,1.74537104182334,0.480253787900567,-5.57461252540004,-7.33086915262667,-7.77671316253771,-7.77671316253771,2
"45",120102095,7.66997965562283,7.66997965562283,-0.650308594840725,1.45356294409851,0.914025651696329,2.52948399617624,1.44079435652297,-4.8726359987138,-7.35742667244841,-6.39171249672843,-6.39171249672843,2
"46",111228657,7.07608184848507,7.07608184848507,-2.40254872833804,1.99931327206055,0.324488233307656,1.42404047906861,0.135803142374214,-4.74141060243854,-7.23696154855203,NA,NA,2
"47",110610640,7.24646891455464,7.24646891455464,-2.32040084459557,1.63869886576853,0.456669629423758,2.02229843459685,1.36390310400558,-5.09562531762226,-7.21135798283229,-7.43446810422579,-7.43446810422579,2
"48",110402009,6.86942194579235,6.86942194579235,-0.518893718323312,1.55204735184362,0.164650215934297,2.9698290411221,2.44452600246156,-4.96501078371231,-6.78893288078297,-7.55513685727906,-7.55513685727906,2
"49",110213220,7.57870110786562,7.57870110786562,-1.48783167539175,1.53535742366243,0.214578953570499,2.05142613827053,1.07269132237397,-5.02815381842555,-7.28761129013086,-5.86635264154002,-5.86635264154002,2
"50",110102788,6.52413879352964,6.52413879352964,-0.653658082112138,2.40475847798804,0.311541958401195,2.66921819988145,1.54632854794217,-4.42888538198445,-6.68803433963163,-5.99504283089901,-5.99504283089901,2
"51",100906576,6.89452797868453,6.89452797868453,-7.3333234291501,2.04373156605028,0.451479405124862,1.49485488575105,0.775383084667276,-4.63292375773125,-7.23714145513368,-6.43820817724996,-6.43820817724996,2
"52",100802240,7.88956781777246,7.88956781777246,-0.0632240035723744,1.45745798798203,0.500648063371912,2.13098022505226,1.24273865457168,-5.92031237238866,-7.49101266136308,-6.18515496587222,-6.18515496587222,2
"53",100615083,7.35471042026562,7.35471042026562,-0.441520364754929,1.5726044405492,-0.00921730819686218,1.72872395158938,0.875324018910345,-5.059314213067,-7.08620203672945,-6.34080704946706,-6.34080704946706,2
"54",100522157,8.00570613518403,8.00570613518403,-1.14600212648729,1.54809446459943,-0.145693958198919,2.18630016264652,1.34567420151003,-5.41308653441545,-7.39017090042489,-6.81019540321704,-6.81019540321704,2
"55",100504806,8.39936404960029,8.39936404960029,-1.01159520215371,1.21779967994712,0.257678574869184,1.91076822111397,0.774063749236101,-5.63333427931384,-6.90014678011562,NA,NA,2
"56",100117879,8.24536515186558,8.24536515186558,0.209037610753412,-0.59176003468815,-0.0788339493622613,2.51245878726821,1.70833717776695,-6.37406023067832,-7.15898484750624,-6.48875536481706,-6.48875536481706,2
"57",90927422,9.02071237946114,9.02071237946114,-0.53040799999999,-0.290730039024169,-0.636388020107856,2.24504900844447,1.61690675841142,-6.51915978145722,-7.73657698913261,-7.44889330961058,-7.44889330961058,2
"58",90621185,7.09517192582198,7.09517192582198,-1.57295838722762,2.02838415672172,1.15754742557781,1.84224892527716,0.434432686647134,-4.96497071779763,-6.67501829691263,-6.68414708404432,-6.68414708404432,2
"59",90510016,7.89557695128218,7.89557695128218,0.0918160480792927,-0.0177287669604316,-0.860120913598763,3.67459093103687,2.54280414725264,-5.47195790834493,-7.39173076813438,-6.71969589124613,-6.71969589124613,2
"60",90113778,7.89116953013998,7.89116953013998,-0.955221838061032,1.24074887801809,0.510276844417355,2.26260152416571,1.57210789660403,-5.803050459026,-7.31605286924849,-7.26789238918736,-7.26789238918736,2
"61",81222204,8.22223709175593,8.22223709175593,0.475324258970014,1.27600198996205,0.365113431627577,2.16793937781446,0.925882231499053,-4.92492773729388,-7.01930140448651,-6.44609688928525,-6.44609688928525,2
"62",80916406,7.54554709139253,7.54554709139253,-8.38811586837547,1.66592791280266,0.855700830835437,1.51161829365623,0.807781667052013,-5.10731004262535,-7.08746974098123,-6.72261171267969,-6.72261171267969,2
"63",80905705,7.54379798047519,7.54379798047519,-0.617763276884242,2.02524030643275,0.832636627596703,2.29915959321591,1.49711605040934,-5.53621149304416,-7.43954337774897,-6.06959108993709,-6.06959108993709,2
"64",80714745,7.12300815737951,7.12300815737951,-0.744169474445082,1.77560316723315,1.05215506719956,2.33221418486524,1.51410872074251,-5.19839051197268,-6.849427752331,-7.08693661109693,-7.08693661109693,2
