GRB , RA , Dec , Err90 , #breaks , lc type , NH_gal , Redshift , Ave_NH_wt , Ave_dNH_Wt , Ave_Gamma_WT , Ave_dgamma_WT , Ave_obs_flux_WT , d_Ave_obs_flux_WT , Ave_unabs_flux_WT , Ave_NH_PC , Ave_dNH_PC , Ave_Gamma_PC , Ave_dgamma_PC , Ave_obs_flux_PC , d_Ave_obs_flux_PC , Ave_unabs_flux_PC , Flux_11 , Flux_24 , alpha_1 , D_alpha_1, break_1 , D_break_1 , NH_1 (wt) , D_NH_1 (wt) , NH_1 (pc) , D_NH_1 (pc) , Gamma_1 (wt) , D_Gamma_1 (wt) , Gamma_1 (pc) , D_Gamma_1 (pc) , Obs Flux_1 (wt) , D_Obs Flux_1 (wt) , Unabs Flux_1 (wt) , Obs Flux_1 (pc) , D_Obs Flux_1 (pc) , Unabs Flux_1 (pc) , alpha_2 , D_alpha_2, break_2 , D_break_2 , NH_2 (wt) , D_NH_2 (wt) , NH_2 (pc) , D_NH_2 (pc) , Gamma_2 (wt) , D_Gamma_2 (wt) , Gamma_2 (pc) , D_Gamma_2 (pc) , Obs Flux_2 (wt) , D_Obs Flux_2 (wt) , Unabs Flux_2 (wt) , Obs Flux_2 (pc) , D_Obs Flux_2 (pc) , Unabs Flux_2 (pc) , alpha_3 , D_alpha_3, break_3 , D_break_3 , NH_3 (wt) , D_NH_3 (wt) , NH_3 (pc) , D_NH_3 (pc) , Gamma_3 (wt) , D_Gamma_3 (wt) , Gamma_3 (pc) , D_Gamma_3 (pc) , Obs Flux_3 (wt) , D_Obs Flux_3 (wt) , Unabs Flux_3 (wt) , Obs Flux_3 (pc) , D_Obs Flux_3 (pc) , Unabs Flux_3 (pc) , alpha_4 , D_alpha_4, break_4 , D_break_4 , NH_4 (wt) , D_NH_4 (wt) , NH_4 (pc) , D_NH_4 (pc) , Gamma_4 (wt) , D_Gamma_4 (wt) , Gamma_4 (pc) , D_Gamma_4 (pc) , Obs Flux_4 (wt) , D_Obs Flux_4 (wt) , Unabs Flux_4 (wt) , Obs Flux_4 (pc) , D_Obs Flux_4 (pc) , Unabs Flux_4 (pc) , alpha_5 , D_alpha_5, break_5 , D_break_5 , NH_5 (wt) , D_NH_5 (wt) , NH_5 (pc) , D_NH_5 (pc) , Gamma_5 (wt) , D_Gamma_5 (wt) , Gamma_5 (pc) , D_Gamma_5 (pc) , Obs Flux_5 (wt) , D_Obs Flux_5 (wt) , Unabs Flux_5 (wt) , Obs Flux_5 (pc) , D_Obs Flux_5 (pc) , Unabs Flux_5 (pc) , alpha_6 , D_alpha_6, NH_6 (wt) , D_NH_6 (wt) , NH_6 (pc) , D_NH_6 (pc) , Gamma_6 (wt) , D_Gamma_6 (wt) , Gamma_6 (pc) , D_Gamma_6 (pc) , Obs Flux_6 (wt) , D_Obs Flux_6 (wt) , Unabs Flux_6 (wt) , Obs Flux_6 (pc) , D_Obs Flux_6 (pc) , Unabs Flux_6 (pc) 
221216A,326.03005,-34.42115,2,2, TBD ,2.75E-02, N/A ,0.12," +1.28E-2, -1.23E-2",1.6," +3.26E-2, -3.23E-2",5.89E-09," +1.23E-10, -1.21E-10",6.81E-09,1.51E-02," +2.77E-2, -1.51E-2",1.7," +0.11, -0.10",1.30E-11," +9.85E-13, -9.08E-13",1.40E-11,1.19E-12,1.79E-13,1.2," +4.61E-2, -3.03E-2",4709," +604, -769",0.12," +1.28E-2, -1.23E-2",1.67E-05," +0.12, -1.67E-5",1.6," +3.26E-2, -3.23E-2",1.5," +0.56, -0.24",5.89E-09," +1.23E-10, -1.21E-10",6.81E-09,2.34E-11," +7.05E-12, -7.25E-12",2.34E-11,0.34," +0.16, -0.16",1.29E+04," +1156, -1156", N/A ," , ",3.82E-02," +3.63E-2, -3.29E-2", N/A ," , ",1.8," +0.14, -0.14", N/A ," , ", N/A ,2.15E-11," +1.96E-12, -1.78E-12",2.43E-11,2.4," +0.21, -0.19", N/A ," , ", N/A ," , ",5.22E-03," +6.09E-2, -5.22E-3", N/A ," , ",1.6," +0.23, -0.15", N/A ," , ", N/A ,8.65E-13," +1.16E-13, -1.21E-13",9.07E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221202A,77.08272,-59.8325,2,1, TBD ,2.11E-02, N/A ,0.37," +2.95E-2, -2.79E-2",3.2," +0.11, -0.10",6.06E-10," +1.98E-11, -1.90E-11",2.47E-09,0.18," +7.47E-2, -6.53E-2",2.7," +0.32, -0.29",3.20E-12," +4.23E-13, -3.58E-13",6.31E-12,1.88E-13,1.29E-13,1.7," +0.37, -0.27",2517," +3357, -1335",0.37," +2.95E-2, -2.79E-2",0.18," +7.64E-2, -6.69E-2",3.2," +0.11, -0.10",2.8," +0.34, -0.31",6.06E-10," +1.98E-11, -1.90E-11",2.47E-09,3.69E-11," +4.98E-12, -4.18E-12",7.85E-11,0.48," +0.12, -0.12", N/A ," , ", N/A ," , ",0.27," +0.23, -0.17", N/A ," , ",2.1," +0.53, -0.46", N/A ," , ", N/A ,2.28E-13," +6.75E-14, -5.05E-14",3.61E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221201A,266.92444,-68.24894,2,2, TBD ,7.53E-02, N/A ,0.27," +1.70E-2, -1.66E-2",3.2," +6.52E-2, -6.32E-2",1.10E-09," +2.23E-11, -2.18E-11",3.91E-09,0.21," +4.98E-2, -4.63E-2",2," +0.12, -0.11",7.89E-12," +5.13E-13, -4.79E-13",1.14E-11,3.43E-12,1.66E-12,5.4," +0.21, -0.31",219," +10.5, -15.6",0.46," +3.66E-2, -3.48E-2", N/A ," , ",3.4," +0.11, -0.11", N/A ," , ",8.25E-09," +2.72E-10, -2.62E-10",4.55E-08, N/A ," , ", N/A ,6.4," +0.18, -0.21",364," +7.1, -6.2",0.28," +2.42E-2, -2.28E-2", N/A ," , ",3.6," +0.11, -0.10", N/A ," , ",1.03E-09," +2.69E-11, -2.63E-11",5.44E-09, N/A ," , ", N/A ,0.93," +1.85E-2, -1.97E-2", N/A ," , ",1.93E-02," +4.33E-2, -1.93E-2",0.22," +4.98E-2, -4.63E-2",2," +0.16, -0.13",2," +0.12, -0.11",2.05E-10," +1.91E-11, -1.75E-11",2.47E-10,7.10E-12," +4.56E-13, -4.26E-13",1.04E-11, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221120A,41.33982,43.24315,2.4,0, TBD ,0.12, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,3.2," +2.5, -1.7",1.9," +1.1, -0.93",5.09E-13," +2.25E-13, -1.51E-13",1.16E-12,2.36E-15,6.61E-16,1.6," +0.30, -0.30", N/A ," , ", N/A ," , ",3.2," +2.5, -1.7", N/A ," , ",1.9," +1.1, -0.93", N/A ," , ", N/A ,5.09E-13," , ",1.16E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221110A,29.09922,-27.2957,2.1,0, TBD ,1.46E-02,4.06,0.79," +2.7, -0.79",1.7," +0.23, -0.20",2.08E-10," +3.71E-11, -3.28E-11",2.19E-10,0.84," +1.4, -0.84",1.9," +0.15, -0.15",4.96E-12," +5.31E-13, -4.75E-13",5.33E-12,7.20E-13,3.42E-13,0.95," +2.20E-2, -2.12E-2", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221028A,314.2026666,41.08980516,3.5,0, TBD ,0.78, N/A ,1.5," +1.8, -1.3",1.5," +0.85, -0.76",3.61E-10," +1.40E-10, -1.00E-10",5.68E-10,1.6," +0.97, -0.79",1.5," +0.48, -0.43",5.98E-12," +1.18E-12, -9.88E-13",9.65E-12,3.32E-15,6.78E-16,2," +0.13, -0.12", N/A ," , ",1.5," +1.8, -1.3",1.6," +0.97, -0.79",1.5," +0.85, -0.76",1.5," +0.48, -0.43",3.61E-10," , ",5.68E-10,5.98E-12," , ",9.65E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221027B,225.62096,47.44205,2.2,1, TBD ,2.88E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,9.87E-02," +4.80E-2, -4.32E-2",1.9," +0.16, -0.16",5.77E-12," +5.66E-13, -5.10E-13",7.24E-12,4.65E-13,1.55E-13,0.71," +5.55E-2, -0.10",9616," +3113, -5634", N/A ," , ",6.85E-02," +5.01E-2, -4.43E-2", N/A ," , ",1.9," +0.18, -0.17", N/A ," , ", N/A ,1.52E-11," +1.73E-12, -1.53E-12",1.80E-11,1.4," +0.22, -0.24", N/A ," , ", N/A ," , ",0.18," +0.11, -9.35E-2", N/A ," , ",2," +0.32, -0.29", N/A ," , ", N/A ,8.13E-13," +1.51E-13, -1.23E-13",1.14E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221024A,169.74062,33.04199,2.6,1, TBD ,2.86E-02, N/A ,2.53E-02," +1.15E-2, -1.09E-2",1.5," +3.95E-2, -3.88E-2",1.79E-09," +4.85E-11, -4.71E-11",1.91E-09,3.09E-02," +3.21E-2, -2.91E-2",2," +0.14, -0.13",1.17E-11," +1.01E-12, -9.15E-13",1.34E-11,2.41E-12,5.07E-13,0.43," +7.84E-2, -8.52E-2",1.88E+04," +3457, -2897",2.53E-02," +1.15E-2, -1.09E-2",2.12E-08," +2.72E-2, -2.12E-8",1.5," +3.95E-2, -3.88E-2",1.8," +0.14, -9.85E-2",1.79E-09," +4.84E-11, -4.72E-11",1.91E-09,3.66E-11," +2.81E-12, -3.40E-12",3.87E-11,2," +0.16, -0.14", N/A ," , ", N/A ," , ",0.12," +6.25E-2, -5.47E-2", N/A ," , ",2.5," +0.27, -0.25", N/A ," , ", N/A ,9.22E-13," +1.15E-13, -9.86E-14",1.45E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221016A,38.94459,-34.61046,2,1, TBD ,3.53E-02, N/A ,4.35E-02," +4.20E-2, -3.68E-2",2.5," +0.23, -0.21",2.16E-10," +2.26E-11, -2.07E-11",2.93E-10,0.11," +5.90E-2, -5.25E-2",2," +0.20, -0.19",3.17E-12," +3.67E-13, -3.23E-13",4.20E-12,1.14E-12,6.27E-13,2.2," +0.20, -0.18",259," +52.0, -40.6",4.35E-02," +4.19E-2, -3.68E-2",9.72E-02," +0.23, -9.72E-2",2.5," +0.23, -0.21",1.8," +0.77, -0.60",2.09E-10," +2.19E-11, -2.01E-11",2.85E-10,1.11E-10," +6.61E-11, -3.71E-11",1.33E-10,0.77," +3.91E-2, -4.68E-2", N/A ," , ", N/A ," , ",0.11," +6.68E-2, -5.77E-2", N/A ," , ",2," +0.21, -0.20", N/A ," , ", N/A ,1.88E-12," +2.26E-13, -1.98E-13",2.48E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221009A,288.26477,19.77348,1.9,4, TBD ,0.54,0.151,1.3," +2.31E-2, -2.27E-2",1.8," +1.12E-2, -1.11E-2",2.41E-09," +1.10E-11, -1.10E-11",4.14E-09,1.4," +0.43, -0.38",1.8," +0.20, -0.19",2.29E-10," +1.94E-11, -1.79E-11",3.95E-10,1.24E-09,3.79E-10,1.5," +3.01E-3, -3.01E-3",1.04E+05," +1128, -3.11E4",1.3," +2.31E-2, -2.27E-2",1.4," +0.43, -0.38",1.8," +1.12E-2, -1.11E-2",1.8," +0.20, -0.19",2.40E-09," +1.09E-11, -1.09E-11",4.13E-09,2.29E-10," +1.94E-11, -1.79E-11",3.95E-10,8," +0.00E0, -5.8",1.07E+05," +1.39E4, -4662", N/A ," , ",1.3," +0.51, -0.44", N/A ," , ",1.7," +0.25, -0.24", N/A ," , ", N/A ,2.60E-10," +2.93E-11, -2.61E-11",4.29E-10,1.6," +1.51E-2, -1.54E-2",2.23E+06," +3.02E5, -1.59E5", N/A ," , ",1.2," +9.46E-2, -8.91E-2", N/A ," , ",1.8," +4.92E-2, -4.80E-2", N/A ," , ", N/A ,1.45E-11," +3.05E-13, -3.00E-13",2.49E-11,1.1," +0.13, -0.20",4.71E+06," +6.55E5, -6.90E5", N/A ," , ",1," +0.27, -0.25", N/A ," , ",1.9," +0.16, -0.15", N/A ," , ", N/A ,9.47E-13," +6.45E-14, -6.01E-14",1.77E-12,2.3," +0.34, -0.26", N/A ," , ", N/A ," , ",0.34," +0.38, -0.30", N/A ," , ",1.9," +0.31, -0.28", N/A ," , ", N/A ,1.50E-13," +2.48E-14, -2.12E-14",2.45E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221006A,337.24578,15.71379,3.2,0, TBD ,5.98E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.76," +1.2, -0.66",2.1," +1.4, -1.0",1.75E-12," +1.32E-12, -7.11E-13",3.44E-12,1.46E-12,6.64E-13,1," +0.34, -0.25", N/A ," , ", N/A ," , ",0.76," +1.2, -0.66", N/A ," , ",2.1," +1.4, -1.0", N/A ," , ", N/A ,1.75E-12," , ",3.44E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
220930A,64.71712,13.34912,2,1, TBD ,0.28, N/A ,0.21," +5.74E-2, -5.39E-2",1.6," +7.76E-2, -7.59E-2",5.63E-10," +2.46E-11, -2.37E-11",7.42E-10,0.35," +0.12, -0.11",1.8," +0.16, -0.15",1.90E-11," +1.62E-12, -1.48E-12",2.90E-11,2.40E-12,8.91E-13,0.98," +4.01E-2, -5.09E-2",9908," +8746, -4742",0.21," +5.74E-2, -5.39E-2",0.39," +0.16, -0.14",1.6," +7.76E-2, -7.59E-2",1.8," +0.21, -0.20",5.63E-10," +2.46E-11, -2.37E-11",7.42E-10,9.40E-11," +1.07E-11, -9.46E-12",1.47E-10,1.3," +0.10, -7.46E-2", N/A ," , ", N/A ," , ",0.42," +0.20, -0.17", N/A ," , ",1.9," +0.23, -0.22", N/A ," , ", N/A ,1.43E-12," +1.71E-13, -1.51E-13",2.34E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
220921A,66.4722,-40.40567,3.2,0, TBD ,2.60E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.18," +0.18, -0.14",2.2," +0.58, -0.50",3.09E-12," +1.03E-12, -7.08E-13",4.70E-12,2.55E-12,9.26E-13,1.3," +0.17, -0.15", N/A ," , ", N/A ," , ",0.18," +0.18, -0.14", N/A ," , ",2.2," +0.58, -0.50", N/A ," , ", N/A ,3.09E-12," , ",4.70E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
220907A,268.87315,-20.2895,4,0, TBD ,0.6, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,3.1," +4.9, -2.6",2.8," +2.5, -1.7",8.70E-13," +7.44E-13, -3.69E-13",6.22E-12,3.02E-18,3.13E-19, N/A ," , ", N/A ," , ", N/A ," , ",3.1," +4.9, -2.6", N/A ," , ",2.8," +2.5, -1.7", N/A ," , ", N/A ,8.70E-13," , ",6.22E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
220826A,206.41068,-44.03911,1.9,2, TBD ,9.05E-02, N/A ,1.71E-02," +9.03E-2, -1.71E-2",3.1," +0.67, -0.32",1.76E-10," +2.49E-11, -2.67E-11",3.22E-10,8.35E-02," +5.52E-2, -4.96E-2",1.8," +0.15, -0.15",7.85E-12," +7.45E-13, -6.76E-13",9.93E-12,4.89E-13,1.80E-13,4.1," +0.58, -0.40",141," +12.7, -14.4",1.71E-02," +9.03E-2, -1.71E-2",3.54E-08," +0.12, -3.54E-8",3.1," +0.67, -0.32",0.93," +1.1, -0.94",1.81E-10," +2.56E-11, -2.75E-11",3.32E-10,2.98E-10," +5.19E-10, -2.10E-10",3.10E-10,0.31," +0.24, -0.19",1224," +826, -350", N/A ," , ",5.10E-02," +5.99E-2, -5.10E-2", N/A ," , ",1.8," +0.19, -0.18", N/A ," , ", N/A ,8.91E-11," +1.08E-11, -9.47E-12",1.08E-10,1.3," +0.10, -9.32E-2", N/A ," , ", N/A ," , ",0.2," +0.15, -0.12", N/A ," , ",1.9," +0.29, -0.26", N/A ," , ", N/A ,5.39E-13," +9.17E-14, -7.78E-14",7.46E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
220813A,81.5315,-33.01683,2,3, TBD ,2.32E-02, N/A ,0.11," +2.91E-2, -2.72E-2",2.5," +0.13, -0.13",3.55E-10," +2.05E-11, -1.93E-11",5.64E-10,2.63E-02," +2.86E-2, -2.61E-2",2," +0.13, -0.13",5.69E-12," +4.49E-13, -4.10E-13",6.43E-12,6.61E-13,2.97E-13,-1.5," +0.00E0, 0.37",103," +3.3, -3.0",0.27," +0.22, -0.16", N/A ," , ",2.6," +0.69, -0.56", N/A ," , ",5.68E-10," +1.68E-10, -1.29E-10",1.22E-09, N/A ," , ", N/A ,2.2," +0.17, -0.15",472," +81.9, -59.6",0.11," +2.99E-2, -2.79E-2",4.09E-02," +6.63E-2, -4.09E-2",2.6," +0.14, -0.13",2.6," +0.38, -0.34",3.38E-10," +2.01E-11, -1.89E-11",5.48E-10,5.59E-11," +9.23E-12, -7.82E-12",7.48E-11,0.59," +7.77E-2, -0.27",6382," +3942, -3671", N/A ," , ",3.48E-02," +4.26E-2, -3.48E-2", N/A ," , ",1.9," +0.18, -0.17", N/A ," , ", N/A ,9.74E-12," +1.10E-12, -9.75E-13",1.11E-11,1," +0.11, -7.75E-2", N/A ," , ", N/A ," , ",5.99E-02," +7.80E-2, -5.99E-2", N/A ," , ",1.8," +0.26, -0.24", N/A ," , ", N/A ,5.04E-13," +8.69E-14, -7.29E-14",5.77E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
220730A, N/A , N/A , N/A ,0, TBD , N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
220715B,254.87537,-33.59768,2.2,0, TBD ,0.36, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.64," +0.40, -0.32",2.6," +0.47, -0.42",1.84E-12," +3.53E-13, -2.85E-13",5.72E-12,2.34E-13,1.25E-13,0.81," +5.16E-2, -4.89E-2", N/A ," , ", N/A ," , ",0.64," +0.40, -0.32", N/A ," , ",2.6," +0.47, -0.42", N/A ," , ", N/A ,1.84E-12," , ",5.72E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
